date,cpi_food,dataset_id,display_name,source_file,source_series,expected_frequency,project_role
2016-01-01,248.353,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-02-01,248.606,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-03-01,248.029,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-04-01,248.235,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-05-01,247.856,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-06-01,247.683,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-07-01,247.658,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-08-01,247.746,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-09-01,247.772,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-10-01,247.812,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-11-01,247.741,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2016-12-01,247.725,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-01-01,248.065,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-02-01,248.735,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-03-01,249.244,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-04-01,249.589,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-05-01,249.972,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-06-01,249.77,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-07-01,250.185,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-08-01,250.469,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-09-01,250.826,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-10-01,251.048,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-11-01,251.195,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2017-12-01,251.716,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-01-01,252.377,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-02-01,252.264,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-03-01,252.365,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-04-01,252.867,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-05-01,252.864,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-06-01,253.167,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-07-01,253.598,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-08-01,253.949,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-09-01,254.302,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-10-01,254.17,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-11-01,254.887,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2018-12-01,255.877,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-01-01,256.533,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-02-01,257.253,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-03-01,257.681,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-04-01,257.325,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-05-01,257.818,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-06-01,257.952,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-07-01,258.059,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-08-01,258.288,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-09-01,258.865,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-10-01,259.434,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-11-01,260.048,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2019-12-01,260.483,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-01-01,261.293,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-02-01,261.962,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-03-01,262.622,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-04-01,266.37,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-05-01,268.086,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-06-01,269.553,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-07-01,268.532,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-08-01,268.957,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-09-01,269.043,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-10-01,269.653,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-11-01,269.636,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2020-12-01,270.781,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-01-01,271.195,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-02-01,271.425,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-03-01,271.636,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-04-01,272.715,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-05-01,273.932,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-06-01,275.997,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-07-01,277.813,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-08-01,279.01,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-09-01,281.366,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-10-01,283.972,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-11-01,286.151,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2021-12-01,287.812,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-01-01,290.077,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-02-01,292.899,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-03-01,295.546,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-04-01,298.339,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-05-01,301.755,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-06-01,304.834,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-07-01,308.193,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-08-01,310.794,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-09-01,312.901,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-10-01,315.038,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-11-01,316.62,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2022-12-01,317.813,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-01-01,319.3,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-02-01,320.543,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-03-01,320.554,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-04-01,321.213,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-05-01,322.009,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-06-01,322.365,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-07-01,323.201,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-08-01,324.042,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-09-01,324.379,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-10-01,325.442,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-11-01,325.93,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2023-12-01,326.434,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-01-01,327.424,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-02-01,327.707,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-03-01,327.774,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-04-01,328.449,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-05-01,328.949,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-06-01,329.6,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-07-01,330.329,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-08-01,330.748,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-09-01,331.753,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-10-01,332.463,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-11-01,333.629,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2024-12-01,334.464,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-01-01,335.441,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-02-01,336.065,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-03-01,337.331,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-04-01,337.493,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-05-01,338.474,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-06-01,339.468,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-07-01,339.891,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-08-01,341.32,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-09-01,342.086,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
2025-11-01,342.386,cpi_food,CPI Food,CPI_Food.xlsx,CUSR0000SAF1,monthly,supporting_inflation_detail
