date,cpi_shelter,dataset_id,display_name,source_file,source_series,expected_frequency,project_role
2016-01-01,283.714,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-02-01,284.502,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-03-01,285.122,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-04-01,285.853,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-05-01,286.855,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-06-01,287.819,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-07-01,288.524,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-08-01,289.367,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-09-01,290.369,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-10-01,291.378,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-11-01,292.227,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2016-12-01,293.066,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-01-01,293.769,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-02-01,294.543,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-03-01,295.012,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-04-01,295.741,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-05-01,296.461,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-06-01,297.215,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-07-01,297.676,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-08-01,298.904,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-09-01,299.711,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-10-01,300.814,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-11-01,301.43,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2017-12-01,302.428,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-01-01,303.213,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-02-01,303.784,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-03-01,304.812,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-04-01,305.72,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-05-01,306.808,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-06-01,307.183,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-07-01,308.05,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-08-01,309.004,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-09-01,309.522,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-10-01,310.401,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-11-01,311.247,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2018-12-01,312.132,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-01-01,312.998,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-02-01,314.072,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-03-01,315.051,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-04-01,316.172,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-05-01,317.03,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-06-01,317.949,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-07-01,318.777,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-08-01,319.37,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-09-01,320.436,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-10-01,320.862,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-11-01,321.611,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2019-12-01,322.247,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2020-01-01,323.487,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2020-02-01,324.483,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
2020-03-01,324.54,cpi_shelter,CPI Shelter,CPI_Shelter.xlsx,CUSR0000SAH1,monthly,supporting_inflation_detail
