date,cpi_transportation,dataset_id,display_name,source_file,source_series,expected_frequency,project_role
2016-01-01,192.648,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-02-01,188.784,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-03-01,191.583,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-04-01,194.491,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-05-01,195.474,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-06-01,197.236,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-07-01,194.654,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-08-01,194.205,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-09-01,195.762,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-10-01,197.151,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-11-01,197.331,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2016-12-01,199.146,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-01-01,202.082,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-02-01,201.566,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-03-01,201.165,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-04-01,200.904,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-05-01,198.623,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-06-01,198.062,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-07-01,196.903,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-08-01,199.59,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-09-01,204.503,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-10-01,203.282,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-11-01,205.698,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2017-12-01,206.332,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-01-01,208.964,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-02-01,210.466,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-03-01,208.649,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-04-01,209.542,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-05-01,210.576,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-06-01,210.83,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-07-01,210.467,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-08-01,211.843,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-09-01,212.734,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-10-01,213.82,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-11-01,211.019,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2018-12-01,208.595,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-01-01,205.719,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-02-01,207.495,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-03-01,210.097,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-04-01,213.037,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-05-01,211.761,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-06-01,209.25,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-07-01,209.934,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-08-01,209.27,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-09-01,209.085,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-10-01,210.25,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-11-01,211.286,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2019-12-01,213.354,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2020-01-01,213.14,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2020-02-01,211.402,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2020-03-01,204.709,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2020-04-01,192.375,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
2020-05-01,188.733,cpi_transportation,CPI Transportation,CPI_Transportation.xlsx,CUSR0000SAT,monthly,supporting_inflation_detail
